"Delivery period:","Termin dostawy:"
"Click on the seal to check validity!","Kliknij, aby sprawdzić ważność pieczęci!"
"is a certified online shop with Trusted Shops Certificate","jest certyfikowanym sklep internetowy z Trusted Shops Certyfikatu"
"more...","więcej..."
"Details for diecrema.de","Więcej informacji o DieCrema.com"
"diecrema.de","DieCrema.com"
"All Rights Reserved.","Wszelkie prawa zastrzeżone."
"All prices include VAT and exclude","Wszystkie ceny zawierają podatek VAT i uwzględniają"
"All prices include VAT","Wszystkie ceny zawierają podatek VAT"
"Productinfo","Informacje o produkcie"
"Specifications","Dane techniczne"
"Instructions","Instrukcje"
"News","Aktualności"
"Your shop for espresso machines and coffee","DieCrema.com - Twój sklep dla ekspresów do kawy i czajnik"
"We warmly welcome you to our online store DieCrema. Here you will find all you need to know about espresso machines, coffee machines, coffee grinders and espresso varieties. We offer only products of the highest quality having spent the last few years turning a much-loved hobby into a profession.","Serdecznie witamy w naszym internetowym DieCrema sklepie. Znajdziesz tu wszystko, co związane jest z tematem ekspresów do kawy i odmian espresso. Oferujemy wyłącznie produkty o najwyższej jakości, tak jak przez ostatnie kilka lat w maszynach do kawy, ekspresach do kawy, oraz młynkach do kawy i to nasze hobby chcemy dokonac w naszyn zawódzie."
"In our DieCrema online store, you will find everything about portafilter espresso machines, coffee grinders and espresso beans. We deal with the issue for several years espresso and strive only for quality goods. DieCrema stands for quality and enjoyment. Espresso should taste, but this is only possible with the correct filter holder espresso machine, a good grinder and the right coffee. Ask. Imagine that you are sitting on a summer day in Italy, at an outdoor café and an espresso A pleasurable moment. We want to give you this moment. With our original espresso varieties, for example Hausbrandt, along with a Bezzera espresso machine and a Mazzer coffee grinder, we bring you the feel of a real Italian cafes directly home.","xxx"
"We are an authorized trading partner of ATT, Ascaso, Bezzera, conceptart, Danesi, Elektra, Eureka, Faema, Hausbrandt, Ilsa, LaCimbali, LaMarzocco, LaPavoni, Mazzer, Macap, Nuova Ricambi, Nuova Simonelli, Quickmill, Rocket Espresso, Vibiemme and WaterAndMore.","Jesteśmy autoryzowanym partnerem handlowym handlu bronią, Ascaso, Bezzera, conceptart, Danesi, Elektra, Eureka, Faema, Hausbrandt, Ilsa, LaCimbali, LaMarzocco, LaPavoni, Mazzer, Macap Nuova RICAMBI, Nuova Simonelli, Quickmill, espresso i Rocket, Vibiemme WaterAndMore."
"Trusted Shops certificate of quality","Trusted Shops znak jakości"
"Certificate of quality","Znak jakości"
"Please check validity!","Proszę sprawdzić ważność!"
"Buyer protection","Ochrona kupujących"
"As an additional service, we offer you the Trusted Shops buyer protection.","Jako dodatkową usługę oferujemy Trusted Shops ochrony kupujących."
"We assume all the costs of this warranty, you only have to register.","Zakładamy wszystkie koszty tej gwarancji, wystarczy się zarejestrować."
"Registration for the Trusted Shops buyer protection","Rejestracja dla Trusted Shops ochrony kupujących"
"Authorized partners","Autoryzowani partnerzy"
"I want to subscribe to the newsletter","Chcę newsletter Subskrybuj (wypisz w dowolnym momencie)."

